City,Latitude,Longitude,Restaurant_Count,Province
Ternat,50.8699819,4.160936100000001,1,Vlaams Gewest
Termonde,51.0256441,4.102013599999999,1,Vlaams Gewest
Strombeek,50.9095358,4.3546661,1,Vlaams Gewest
Steenokkerzeel,50.91912,4.501839299999999,1,Vlaams Gewest
Steenhuffel,50.99577,4.26716,1,Vlaams Gewest
Staden,50.9746466,3.0146178,1,Vlaams Gewest
St-Niklaas,51.1657403,4.1370695,1,Vlaams Gewest
Sluis,51.21108,5.135520000000001,1,Vlaams Gewest
Sint-Stevens-Woluwe,50.8691316,4.450322799999999,1,Vlaams Gewest
Sint-Pieters-Woluwe,50.83302399999999,4.431729,1,Brussel
Sint-Pauwels,51.193303,4.0977458,1,Vlaams Gewest
Sint-Michiels,51.1858939,3.2082098,1,Vlaams Gewest
Sint-Kwintens-Lennik,50.80422,4.154809999999999,1,Vlaams Gewest
Sint-Kruis,51.21429699999999,3.2512976,1,Vlaams Gewest
Sint-Josse-ten-Noode,50.8499102,4.3730202,1,Brussel
Sint-Josse-Ten-Noode,50.8499102,4.3730202,1,Brussel
Sint-Joost-ten-Node,50.8499102,4.3730202,1,Brussel
Sint-Job-In-'t-Goor (Brecht),51.29729950000001,4.5738455,1,Vlaams Gewest
Sint-Jans-Moleenbeek,50.8589178,4.3120744,1,Bruxelles
Sint-Gilles,50.8268879,4.3446733,1,Bruxelles
Sint-Eloois-Winkel,50.8762769,3.1823566,1,Vlaams Gewest
Sint-Amands,51.054855,4.2050401,1,Vlaams Gewest
Sint- Andries,51.1972024,3.1794755,1,Vlaams Gewest
Sint pieters woluwe,50.83302399999999,4.431729,1,Brussel
Sint Niklaas,51.1657403,4.1370695,1,Vlaams Gewest
Sint Michiels,51.1858939,3.2082098,1,Vlaams Gewest
Sint Josse Ten Noode,50.8499102,4.3730202,1,Brussel
Sinaai,51.1563307,4.0444238,1,Vlaams Gewest
Scherpenheuvel,50.9801333,4.9753378,1,Vlaams Gewest
Schaffen-Diest,51.01086400000001,5.099756999999999,1,Flanders
Saintes,50.70615,4.15817,1,Région Wallonne
Saint-josse-ten-noode,50.8499102,4.3730202,1,Brussel
Saint-Trond,50.8186764,5.1816874,1,Vlaams Gewest
Saint-Nicolas,50.6402849,5.523139899999999,1,Région Wallonne
Rupelmonde,51.1274074,4.2903448,1,Vlaams Gewest
Ruislede,51.0413499,3.3970884,1,Vlaams Gewest
Rotselaar,50.9502027,4.7115345,1,Vlaams Gewest
Roosendaal,51.535849,4.465321299999999,1,Noord-Brabant
Roosdaal,50.8428641,4.0759748,1,Vlaams Gewest
Rocourt,50.67592140000001,5.545947399999999,1,Région Wallonne
Roccourt,50.67592140000001,5.545947399999999,1,Région Wallonne
Rillaar,50.97438,4.89422,1,Vlaams Gewest
Rhode-Saint-Genèse,50.7432603,4.3465049,1,Vlaams Gewest
Rhode Saint Genèse,50.7432603,4.3465049,1,Vlaams Gewest
Renaix,50.7498634,3.6039574,1,Vlaams Gewest
Rekkem,50.782807,3.1641132,1,Vlaams Gewest
Reet,51.10113339999999,4.4125882,1,Vlaams Gewest
Ravels,51.371407,4.9936552,1,Vlaams Gewest
Ramsel,51.03211,4.8328,1,Vlaams Gewest
Putte-Kapellen,51.35326999999999,4.39672,1,Vlaams Gewest
Oudsbergen,51.0980576,5.518132899999999,1,Vlaams Gewest
Oudergem,50.8165359,4.4263595,1,Bruxelles
Oud-Heverlee,50.8260579,4.7023053,1,Vlaams Gewest
Ossendrecht,50.503887,4.469936,1,Région Wallonne
Oreye,50.7308698,5.344570699999999,1,Région Wallonne
Ophasselt,50.82118209999999,3.8913282,1,Vlaams Gewest
Opglabbeek,51.04316,5.58412,1,Vlaams Gewest
Oosterzele,50.9384372,3.7856038,1,Vlaams Gewest
Oordegem,50.9565245,3.9028634,1,Vlaams Gewest
Olsene,50.9362129,3.4657328,1,Vlaams Gewest
Olen,51.1687461,4.9039816,1,Vlaams Gewest
